timestamp,messages_count,bytes_received,msg_throughput,mb_throughput,avg_latency_ms,min_latency_ms,max_latency_ms,partition,offset,cpu_usage_percent,mem_usage_mb
2025-04-12T15:23:59+03:00,77073,78922752,77077.94,75.27,1899.47,1715,2080,0,2847873,145.45,2.83
2025-04-12T15:24:00+03:00,178750,183040000,89354.83,87.26,1895.19,1121,2381,0,2949550,174.54,2.74
2025-04-12T15:24:01+03:00,262393,268690432,87463.56,85.41,1476.95,2,2381,0,3033193,145.07,3.77
2025-04-12T15:24:02+03:00,294503,301571072,73624.50,71.90,1316.38,1,2381,0,3065303,75.75,1.68
2025-04-12T15:24:03+03:00,327531,335391744,65507.08,63.97,1184.30,1,2381,0,3098331,74.64,0.69
2025-04-12T15:24:04+03:00,364215,372956160,60703.12,59.28,1065.43,1,2381,0,3135015,78.72,1.14
2025-04-12T15:24:05+03:00,399199,408779776,57028.78,55.69,972.46,1,2381,0,3169999,77.98,2.64
2025-04-12T15:24:06+03:00,431675,442035200,53959.01,52.69,899.68,1,2381,0,3202475,76.40,1.02
2025-04-12T15:24:07+03:00,466331,477522944,51814.18,50.60,833.40,1,2381,0,3237131,77.04,2.26
2025-04-12T15:24:08+03:00,501758,513800192,50175.70,49.00,774.85,1,2381,0,3272558,79.31,1.30
2025-04-12T15:24:09+03:00,536812,549695488,48801.35,47.66,724.52,1,2381,0,3307612,78.19,2.84
2025-04-12T15:24:10+03:00,577122,590972928,48092.76,46.97,674.41,1,2381,0,3347922,76.61,1.17
2025-04-12T15:24:11+03:00,618299,633138176,47560.03,46.45,629.97,1,2381,0,3389099,80.34,0.68
2025-04-12T15:24:12+03:00,662031,677919744,47288.23,46.18,588.76,1,2381,0,3432831,82.17,3.52
2025-04-12T15:24:13+03:00,703281,720159744,46885.23,45.79,554.51,1,2381,0,3474081,81.24,3.02
2025-04-12T15:24:14+03:00,742726,760551424,46419.50,45.33,525.28,1,2381,0,3513526,79.43,3.56
2025-04-12T15:24:15+03:00,778831,797522944,45811.82,44.74,501.13,1,2381,0,3549631,76.08,3.18
2025-04-12T15:24:16+03:00,817444,837062656,45413.73,44.35,477.71,1,2381,0,3588244,79.25,2.81
2025-04-12T15:24:17+03:00,853678,874166272,44930.49,43.88,457.60,1,2381,0,3624478,79.65,2.62
2025-04-12T15:24:18+03:00,900636,922251264,45031.94,43.98,434.19,1,2381,0,3671436,82.92,3.09
2025-04-12T15:24:19+03:00,934786,957220864,44513.77,43.47,418.47,1,2381,0,3705586,78.42,3.62
2025-04-12T15:24:20+03:00,969181,992441344,44053.66,43.02,404.10,1,2381,0,3739981,76.26,1.12
2025-04-12T15:24:21+03:00,1005018,1029138432,43696.60,42.67,389.87,1,2381,0,3775818,77.24,3.72
2025-04-12T15:24:22+03:00,1044093,1069151232,43503.20,42.48,375.46,1,2381,0,3814893,78.53,0.54
2025-04-12T15:24:23+03:00,1077117,1102967808,43084.60,42.07,364.18,1,2381,0,3847917,77.55,3.00
2025-04-12T15:24:24+03:00,1112884,1139593216,42803.32,41.80,352.67,1,2381,0,3883684,77.15,2.33
2025-04-12T15:24:25+03:00,1159880,1187717120,42958.23,41.95,338.74,1,2381,0,3930680,81.26,2.82
2025-04-12T15:24:26+03:00,1196924,1225650176,42747.33,41.75,328.40,1,2381,0,3967724,79.80,0.70
2025-04-12T15:24:27+03:00,1242911,1272740864,42857.53,41.85,316.44,1,2381,0,4013711,83.39,2.95
2025-04-12T15:24:28+03:00,1289699,1320651776,42989.60,41.98,305.18,1,2381,0,4060499,85.20,2.96
2025-04-12T15:24:29+03:00,1330413,1362342912,42916.32,41.91,295.97,1,2381,0,4101213,77.59,1.90
2025-04-12T15:24:30+03:00,1362781,1395487744,42586.62,41.59,289.19,1,2381,0,4133581,75.85,3.54
2025-04-12T15:24:31+03:00,1400226,1433831424,42431.17,41.44,281.69,1,2381,0,4171026,78.07,1.61
2025-04-12T15:24:32+03:00,1445147,1479830528,42504.30,41.51,273.27,1,2381,0,4215947,75.95,2.68
2025-04-12T15:24:33+03:00,1479628,1515139072,42275.07,41.28,267.05,1,2381,0,4250428,77.06,0.55
2025-04-12T15:24:34+03:00,1511959,1548246016,41998.96,41.01,261.43,1,2381,0,4282759,74.38,2.06
